Year,Data_Points,Average_Price,Price_Volatility,Max_Price,Min_Price,Start_Price,End_Price,Annual_Return(%)
2017,11,154.2899989090909,2.4409417809561647,157.160004,150.339996,152.330002,151.990005,-0.22319766003811317
2018,244,161.85750033196723,6.0760453313482685,173.610001,149.46000700000005,155.919998,162.020004,3.9122665971301562
2019,223,137.4291029147982,14.334818802784135,163.669998,117.580002,163.169998,119.379997,-26.837042064558947
2020,245,121.83289768571427,5.00762863140602,133.100006,109.790001,118.0,113.580002,-3.7457610169491584
2021,250,111.10716004399998,5.568862923536479,125.230003,100.5,114.080002,101.459999,-11.062414778008154
2022,247,119.37882614574897,6.8762638589345775,130.520004,102.889999,102.889999,109.610001,6.531248970077251
2023,248,119.72189528225807,3.1239101143983583,128.130005,110.470001,110.470001,123.650002,11.930841749517143
2024,248,120.2071775766129,5.194631152880233,128.830002,111.099998,125.150002,121.25,-3.1162620356969715
