Date,Price,Signal,Position,Capital,Return
2017-12-16,155.229996,0,0.0,100000.0,0.0
2017-12-19,154.869995,0,0.0,100000.0,0.0
2017-12-20,156.979996,0,0.0,100000.0,0.0
2017-12-21,157.160004,0,0.0,100000.0,0.0
2017-12-22,156.03999299999995,1,0.3,99900.0,-0.001
2017-12-23,156.309998,1,0.3,99951.85881961686,-0.00048141180383143366
2017-12-27,154.910004,1,0.3,99683.292500584,-0.003167074994160066
2017-12-28,151.029999,0,0.3,98934.26726658027,-0.010657327334197325
2017-12-29,150.339996,0,0.3,98798.66849480895,-0.012013315051910467
2017-12-30,151.990005,0,0.3,99123.96854112088,-0.008760314588791226
2018-01-03,155.919998,1,0.3,99892.8806202385,-0.0010711937976149784
2018-01-04,156.71000700000005,1,0.3,100044.7205555993,0.0004472055559929868
2018-01-05,157.779999,1,0.3,100249.6475784857,0.00249647578485703
2018-01-06,157.199997,1,0.3,100139.09174796852,0.0013909174796851585
2018-01-09,156.5,1,0.3,100005.31872288449,5.318722884490853e-05
2018-01-10,158.639999,1,0.3,100415.56399201226,0.00415563992012263
2018-01-11,159.669998,0,0.3,100611.15387693695,0.006111538769369509
2018-01-12,160.380005,0,0.3,100745.37061976682,0.007453706197668216
2018-01-13,159.259995,0,0.3,100534.30474054856,0.005343047405485558
2018-01-17,160.5,1,0.3,100769.13403440193,0.007691340344019263
2018-01-18,161.600006,0,0.3,100976.32403823864,0.00976324038238643
2018-01-19,161.220001,0,0.3,100905.08980570498,0.00905089805704978
2018-01-20,162.070007,0,0.3,101064.69146412214,0.010646914641221373
2018-01-23,163.160004,0,0.3,101268.60373488883,0.01268603734888835
2018-01-24,162.009995,0,0.3,101054.470731351,0.010544707313510007
2018-01-25,166.419998,1,0.3,101879.69855588491,0.01879698555884912
2018-01-27,168.970001,1,0.3,102348.02004382882,0.023480200438288155
2018-01-30,168.029999,1,0.3,102177.20745644432,0.021772074564443175
2018-01-31,169.309998,0,0.3,102410.7134806282,0.024107134806281974
2018-02-01,169.559998,1,0.3,102456.07880814446,0.024560788081444625
2018-02-02,171.050003,1,0.3,102726.17801462923,0.027261780146292294
2018-02-03,167.639999,1,0.3,102111.80209216649,0.021118020921664864
2018-02-06,167.179993,1,0.3,102027.74331995209,0.020277433199520894
2018-02-07,169.699997,0,0.3,102489.12087476019,0.024891208747601923
2018-02-08,168.5,1,0.3,102271.70194767143,0.02271701947671434
2018-02-09,168.020004,1,0.3,102184.3013402268,0.02184301340226797
2018-02-10,167.139999,0,0.3,102023.74421495573,0.02023744214955732
2018-02-13,167.509995,0,0.3,102091.49887121469,0.02091498871214688
2018-02-14,167.119995,0,0.3,102020.19145240703,0.020201914524070306
2018-02-15,168.110001,0,0.3,102201.49938326061,0.022014993832606123
2018-02-16,168.0,0,0.3,102181.43704241214,0.021814370424121442
2018-02-17,167.350006,1,0.3,102062.83468350332,0.020628346835033153
2018-02-21,171.020004,1,0.3,102734.30833584866,0.02734308335848662
2018-02-22,172.940002,1,0.3,103080.3199051202,0.030803199051201956
2018-02-23,173.020004,1,0.3,103094.62538388338,0.0309462538388338
2018-02-24,172.229996,1,0.3,102953.40660525544,0.029534066052554406
2018-02-27,171.699997,1,0.3,102858.36183289062,0.02858361832890616
2018-02-28,173.490005,1,0.3,103180.05774511787,0.03180057745117869
2018-03-01,166.610001,0,0.3,101952.5301823514,0.01952530182351402
2018-03-02,166.339996,-1,0.0,101699.25945872755,0.016992594587275527
2018-03-05,165.649994,-1,0.0,101597.56019926883,0.015975601992688316
2018-03-06,162.699997,-1,0.0,101495.96263906956,0.01495962639069563
2018-03-07,163.630005,-1,0.0,101394.4666764305,0.013944666764305003
2018-03-08,165.279999,-1,0.0,101293.07220975407,0.01293072209754071
2018-03-09,166.380005,0,0.0,101293.07220975407,0.01293072209754071
