Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_MAPE,Test_MAPE,Overfitting
Linear_Regression,1.0,1.0,2.979600859599554e-14,7.27666703918937e-15,2.094745072904967e-14,3.726016785083452e-15,1.523138216669599e-14,3.0025079719177768e-15,0.0
SVR_Linear,0.9999856806723629,0.9997071792052706,0.06652638321266638,0.08019911750230632,0.05007127937001067,0.06827889730761558,0.039663979383712314,0.056873882487495864,0.00027850146709229584
Lasso_Regression,0.9998019171606077,0.9991416267053892,0.24743209164005706,0.1373114428535796,0.1852031588805563,0.10850899392529066,0.1448404855786815,0.08994367620931847,0.0006602904552185374
Ridge_Regression,0.9999314784360965,0.9987843817965091,0.14552789024649834,0.16340571038770205,0.1073278809560853,0.1386932425748052,0.08471794887044759,0.11544252620765277,0.0011470966395874527
Gradient_Boosting,0.9999870846163951,0.9968735169714658,0.06318096501759324,0.26205754591924174,0.049364816778159806,0.2034906358284341,0.04050447930300596,0.1677884936852672,0.003113567644929316
Random_Forest,0.9997714547170277,0.9953137759846399,0.2657778177103008,0.320833829111511,0.1773958372940956,0.24962174790447925,0.13900889080017959,0.20662349612388795,0.004457678732387782
Elastic_Net,0.9992074285844392,0.9865040756306992,0.4949391437774997,0.5444649783183864,0.3666445211099451,0.46493235536685473,0.2883184429961233,0.38271071437270254,0.012703352953740032
SVR_RBF,0.9877804157616267,0.9112385461523613,1.9433938089401825,1.396306743402881,0.9200003486698863,0.9834513770650456,0.6837073776734017,0.8406635378542986,0.07654186960926534
